In frame: 140, radius = 71 and center is [359, 236]
In frame: 141, radius = 71 and center is [359, 236]
In frame: 142, radius = 71 and center is [359, 237]
In frame: 143, radius = 71 and center is [358, 236]
In frame: 144, radius = 71 and center is [358, 235]
In frame: 145, radius = 71 and center is [358, 234]
In frame: 146, radius = 71 and center is [359, 233]
In frame: 147, radius = 71 and center is [359, 231]
In frame: 148, radius = 71 and center is [359, 230]
In frame: 149, radius = 70 and center is [358, 230]
In frame: 150, radius = 70 and center is [358, 231]
In frame: 151, radius = 70 and center is [358, 231]
In frame: 152, radius = 70 and center is [358, 232]
In frame: 153, radius = 70 and center is [358, 232]
In frame: 154, radius = 70 and center is [358, 232]
In frame: 155, radius = 70 and center is [358, 232]
In frame: 156, radius = 70 and center is [358, 233]
In frame: 157, radius = 70 and center is [358, 233]
In frame: 158, radius = 70 and center is [358, 233]
In frame: 159, radius = 70 and center is [358, 234]
In frame: 160, radius = 70 and center is [358, 235]
In frame: 161, radius = 71 and center is [358, 236]
In frame: 162, radius = 71 and center is [359, 237]
In frame: 163, radius = 71 and center is [359, 238]
In frame: 164, radius = 71 and center is [360, 239]
In frame: 165, radius = 71 and center is [360, 240]
In frame: 166, radius = 71 and center is [360, 240]
In frame: 167, radius = 71 and center is [360, 241]
In frame: 168, radius = 71 and center is [360, 241]
In frame: 169, radius = 71 and center is [360, 240]
In frame: 170, radius = 71 and center is [361, 240]
In frame: 171, radius = 71 and center is [361, 240]
In frame: 172, radius = 71 and center is [361, 239]
In frame: 173, radius = 71 and center is [361, 238]
In frame: 174, radius = 71 and center is [361, 237]
In frame: 175, radius = 71 and center is [361, 236]
In frame: 176, radius = 71 and center is [361, 234]
In frame: 177, radius = 71 and center is [361, 233]
In frame: 178, radius = 71 and center is [361, 232]
In frame: 179, radius = 71 and center is [361, 232]
In frame: 180, radius = 71 and center is [361, 233]
In frame: 181, radius = 72 and center is [361, 233]
In frame: 182, radius = 72 and center is [361, 233]
In frame: 183, radius = 73 and center is [361, 233]
In frame: 184, radius = 73 and center is [362, 234]
In frame: 185, radius = 73 and center is [362, 234]
In frame: 186, radius = 73 and center is [362, 234]
In frame: 187, radius = 73 and center is [362, 234]
In frame: 188, radius = 73 and center is [361, 235]
In frame: 189, radius = 73 and center is [361, 235]
In frame: 190, radius = 73 and center is [361, 235]
In frame: 191, radius = 74 and center is [361, 236]
In frame: 192, radius = 74 and center is [361, 237]
In frame: 193, radius = 74 and center is [361, 238]
In frame: 194, radius = 74 and center is [361, 239]
In frame: 195, radius = 74 and center is [361, 240]
In frame: 196, radius = 74 and center is [359, 242]
In frame: 197, radius = 74 and center is [357, 243]
In frame: 198, radius = 73 and center is [356, 243]
In frame: 199, radius = 73 and center is [355, 244]
In frame: 200, radius = 73 and center is [354, 244]
In frame: 201, radius = 73 and center is [354, 244]
In frame: 202, radius = 73 and center is [354, 244]
In frame: 203, radius = 73 and center is [355, 244]
In frame: 204, radius = 73 and center is [356, 243]
In frame: 205, radius = 73 and center is [357, 243]
In frame: 206, radius = 73 and center is [358, 242]
In frame: 207, radius = 73 and center is [359, 242]
In frame: 208, radius = 72 and center is [359, 241]
In frame: 209, radius = 72 and center is [359, 241]
In frame: 210, radius = 72 and center is [359, 241]
In frame: 211, radius = 73 and center is [358, 241]
In frame: 212, radius = 73 and center is [357, 241]
In frame: 213, radius = 73 and center is [358, 242]
In frame: 214, radius = 73 and center is [358, 242]
In frame: 215, radius = 73 and center is [358, 242]
In frame: 216, radius = 73 and center is [359, 242]
In frame: 217, radius = 73 and center is [359, 242]
In frame: 218, radius = 74 and center is [359, 243]
In frame: 219, radius = 74 and center is [360, 243]
In frame: 220, radius = 74 and center is [360, 243]
In frame: 221, radius = 74 and center is [360, 243]
In frame: 222, radius = 74 and center is [360, 243]
In frame: 223, radius = 74 and center is [360, 243]
In frame: 224, radius = 73 and center is [360, 242]
In frame: 225, radius = 74 and center is [360, 241]
In frame: 226, radius = 74 and center is [360, 241]
In frame: 227, radius = 74 and center is [360, 240]
In frame: 228, radius = 74 and center is [360, 240]
In frame: 229, radius = 74 and center is [360, 240]
In frame: 230, radius = 74 and center is [360, 241]
In frame: 231, radius = 74 and center is [360, 241]
In frame: 232, radius = 73 and center is [360, 241]
In frame: 233, radius = 73 and center is [359, 241]
In frame: 234, radius = 73 and center is [359, 241]
In frame: 235, radius = 73 and center is [359, 241]
In frame: 236, radius = 74 and center is [359, 241]
In frame: 237, radius = 74 and center is [359, 239]
In frame: 238, radius = 75 and center is [359, 240]
In frame: 239, radius = 75 and center is [359, 240]
In frame: 240, radius = 75 and center is [359, 240]
In frame: 241, radius = 75 and center is [359, 240]
In frame: 242, radius = 75 and center is [359, 240]
In frame: 243, radius = 75 and center is [358, 240]
In frame: 244, radius = 75 and center is [358, 239]
In frame: 245, radius = 75 and center is [358, 239]
In frame: 246, radius = 75 and center is [358, 238]
In frame: 247, radius = 75 and center is [357, 238]
In frame: 248, radius = 75 and center is [357, 238]
In frame: 249, radius = 75 and center is [357, 239]
In frame: 250, radius = 74 and center is [358, 239]
In frame: 251, radius = 74 and center is [358, 240]
In frame: 252, radius = 74 and center is [358, 240]
In frame: 253, radius = 74 and center is [358, 240]
In frame: 254, radius = 74 and center is [358, 240]
In frame: 255, radius = 74 and center is [358, 241]
In frame: 256, radius = 75 and center is [357, 241]
In frame: 257, radius = 75 and center is [357, 241]
In frame: 258, radius = 75 and center is [358, 239]
In frame: 259, radius = 75 and center is [358, 239]
In frame: 260, radius = 75 and center is [358, 239]
In frame: 261, radius = 75 and center is [358, 239]
In frame: 262, radius = 75 and center is [357, 239]
In frame: 263, radius = 75 and center is [357, 238]
In frame: 264, radius = 75 and center is [357, 238]
In frame: 265, radius = 75 and center is [356, 237]
In frame: 266, radius = 76 and center is [356, 236]
In frame: 267, radius = 76 and center is [355, 236]
In frame: 268, radius = 76 and center is [355, 236]
In frame: 269, radius = 76 and center is [355, 238]
In frame: 270, radius = 77 and center is [355, 238]
In frame: 271, radius = 77 and center is [355, 239]
In frame: 272, radius = 76 and center is [354, 239]
In frame: 273, radius = 76 and center is [354, 239]
In frame: 274, radius = 76 and center is [354, 238]
In frame: 275, radius = 77 and center is [354, 239]
In frame: 276, radius = 77 and center is [354, 239]
In frame: 277, radius = 77 and center is [354, 239]
In frame: 278, radius = 78 and center is [354, 239]
In frame: 279, radius = 78 and center is [355, 240]
In frame: 280, radius = 78 and center is [355, 240]
In frame: 281, radius = 78 and center is [355, 241]
In frame: 282, radius = 78 and center is [355, 241]
In frame: 283, radius = 79 and center is [355, 241]
In frame: 284, radius = 79 and center is [355, 241]
In frame: 285, radius = 79 and center is [353, 239]
In frame: 286, radius = 79 and center is [353, 239]
In frame: 287, radius = 78 and center is [353, 239]
In frame: 288, radius = 78 and center is [353, 240]
In frame: 289, radius = 77 and center is [353, 240]
In frame: 290, radius = 77 and center is [354, 241]
In frame: 291, radius = 77 and center is [354, 241]
In frame: 292, radius = 77 and center is [354, 241]
In frame: 293, radius = 77 and center is [354, 241]
In frame: 294, radius = 76 and center is [354, 241]
In frame: 295, radius = 76 and center is [354, 241]
In frame: 296, radius = 76 and center is [354, 241]
In frame: 297, radius = 76 and center is [354, 241]
In frame: 298, radius = 76 and center is [355, 241]
In frame: 299, radius = 76 and center is [355, 241]
In frame: 300, radius = 76 and center is [355, 242]
In frame: 301, radius = 76 and center is [355, 241]
In frame: 302, radius = 76 and center is [355, 241]
In frame: 303, radius = 76 and center is [355, 241]
In frame: 304, radius = 76 and center is [355, 241]
In frame: 305, radius = 76 and center is [355, 241]
In frame: 306, radius = 76 and center is [355, 241]
In frame: 307, radius = 76 and center is [355, 241]
In frame: 308, radius = 77 and center is [355, 240]
In frame: 309, radius = 77 and center is [355, 241]
In frame: 310, radius = 77 and center is [356, 241]
In frame: 311, radius = 78 and center is [356, 242]
In frame: 312, radius = 78 and center is [356, 242]
In frame: 313, radius = 77 and center is [356, 242]
In frame: 314, radius = 77 and center is [356, 242]
In frame: 315, radius = 77 and center is [356, 242]
In frame: 316, radius = 77 and center is [356, 242]
In frame: 317, radius = 78 and center is [356, 241]
In frame: 318, radius = 78 and center is [357, 241]
In frame: 319, radius = 78 and center is [357, 241]
In frame: 320, radius = 79 and center is [356, 242]
In frame: 321, radius = 79 and center is [356, 242]
In frame: 322, radius = 79 and center is [356, 241]
In frame: 323, radius = 79 and center is [356, 241]
In frame: 324, radius = 79 and center is [357, 241]
In frame: 325, radius = 79 and center is [357, 241]
In frame: 326, radius = 79 and center is [356, 241]
In frame: 327, radius = 80 and center is [357, 240]
In frame: 328, radius = 80 and center is [359, 236]
In frame: 329, radius = 80 and center is [359, 236]
In frame: 330, radius = 80 and center is [360, 236]
In frame: 331, radius = 80 and center is [360, 236]
In frame: 332, radius = 80 and center is [360, 234]
In frame: 333, radius = 79 and center is [360, 235]
In frame: 334, radius = 79 and center is [359, 235]
In frame: 335, radius = 79 and center is [358, 235]
In frame: 336, radius = 79 and center is [358, 235]
In frame: 337, radius = 79 and center is [358, 234]
In frame: 338, radius = 79 and center is [358, 234]
In frame: 339, radius = 79 and center is [359, 234]
In frame: 340, radius = 78 and center is [359, 234]
In frame: 341, radius = 78 and center is [355, 233]
In frame: 342, radius = 79 and center is [353, 232]
In frame: 343, radius = 78 and center is [352, 232]
In frame: 344, radius = 79 and center is [352, 233]
In frame: 345, radius = 79 and center is [351, 233]
In frame: 346, radius = 79 and center is [348, 232]
In frame: 347, radius = 80 and center is [345, 232]
In frame: 348, radius = 79 and center is [345, 232]
In frame: 349, radius = 79 and center is [346, 232]
In frame: 350, radius = 79 and center is [346, 231]
In frame: 351, radius = 79 and center is [346, 231]
In frame: 352, radius = 79 and center is [346, 232]
In frame: 353, radius = 79 and center is [346, 234]
In frame: 354, radius = 79 and center is [347, 234]
In frame: 355, radius = 79 and center is [346, 235]
In frame: 356, radius = 79 and center is [346, 235]
In frame: 357, radius = 79 and center is [346, 234]
In frame: 358, radius = 79 and center is [345, 233]
In frame: 359, radius = 79 and center is [344, 233]
In frame: 360, radius = 79 and center is [345, 234]
In frame: 361, radius = 79 and center is [344, 234]
In frame: 362, radius = 78 and center is [344, 234]
In frame: 363, radius = 78 and center is [346, 234]
In frame: 364, radius = 79 and center is [347, 233]
In frame: 365, radius = 79 and center is [347, 234]
In frame: 366, radius = 79 and center is [346, 234]
In frame: 367, radius = 78 and center is [346, 234]
In frame: 368, radius = 78 and center is [346, 234]
In frame: 369, radius = 78 and center is [347, 234]
In frame: 370, radius = 77 and center is [347, 234]
In frame: 371, radius = 77 and center is [346, 234]
In frame: 372, radius = 78 and center is [349, 233]
In frame: 373, radius = 78 and center is [352, 234]
In frame: 374, radius = 78 and center is [353, 234]
In frame: 375, radius = 78 and center is [353, 235]
In frame: 376, radius = 79 and center is [353, 235]
In frame: 377, radius = 79 and center is [354, 235]
In frame: 378, radius = 79 and center is [354, 236]
In frame: 379, radius = 79 and center is [354, 236]
In frame: 380, radius = 79 and center is [353, 235]
In frame: 381, radius = 79 and center is [353, 235]
In frame: 382, radius = 79 and center is [353, 235]
In frame: 383, radius = 79 and center is [353, 235]
In frame: 384, radius = 79 and center is [353, 235]
In frame: 385, radius = 79 and center is [354, 235]
In frame: 386, radius = 79 and center is [354, 235]
In frame: 387, radius = 79 and center is [354, 235]
In frame: 388, radius = 79 and center is [353, 235]
In frame: 389, radius = 78 and center is [352, 236]
In frame: 390, radius = 78 and center is [352, 237]
In frame: 391, radius = 78 and center is [353, 237]
In frame: 392, radius = 78 and center is [353, 237]
In frame: 393, radius = 78 and center is [353, 238]
In frame: 394, radius = 78 and center is [352, 239]
In frame: 395, radius = 78 and center is [352, 240]
In frame: 396, radius = 77 and center is [352, 240]
In frame: 397, radius = 77 and center is [352, 240]
In frame: 398, radius = 77 and center is [352, 240]
In frame: 399, radius = 77 and center is [352, 239]
In frame: 400, radius = 77 and center is [352, 239]
In frame: 401, radius = 77 and center is [352, 238]
In frame: 402, radius = 78 and center is [351, 238]
In frame: 403, radius = 78 and center is [350, 238]
In frame: 404, radius = 78 and center is [350, 236]
In frame: 405, radius = 78 and center is [350, 235]
In frame: 406, radius = 78 and center is [349, 232]
In frame: 407, radius = 78 and center is [349, 232]
In frame: 408, radius = 77 and center is [347, 232]
In frame: 409, radius = 77 and center is [347, 232]
In frame: 410, radius = 77 and center is [347, 231]
In frame: 411, radius = 77 and center is [346, 229]
In frame: 412, radius = 77 and center is [344, 229]
In frame: 413, radius = 77 and center is [342, 229]
In frame: 414, radius = 77 and center is [342, 230]
In frame: 415, radius = 77 and center is [342, 230]
In frame: 416, radius = 76 and center is [342, 229]
In frame: 417, radius = 76 and center is [342, 228]
In frame: 418, radius = 76 and center is [342, 229]
In frame: 419, radius = 76 and center is [342, 229]
In frame: 420, radius = 77 and center is [343, 228]
In frame: 421, radius = 77 and center is [341, 228]
In frame: 422, radius = 77 and center is [341, 228]
In frame: 423, radius = 77 and center is [340, 228]
In frame: 424, radius = 76 and center is [341, 228]
In frame: 425, radius = 76 and center is [342, 228]
In frame: 426, radius = 76 and center is [343, 229]
In frame: 427, radius = 77 and center is [343, 229]
In frame: 428, radius = 77 and center is [343, 229]
In frame: 429, radius = 77 and center is [344, 229]
In frame: 430, radius = 77 and center is [345, 229]
In frame: 431, radius = 77 and center is [345, 229]
In frame: 432, radius = 77 and center is [345, 230]
In frame: 433, radius = 78 and center is [345, 230]
In frame: 434, radius = 78 and center is [345, 232]
In frame: 435, radius = 78 and center is [345, 232]
In frame: 436, radius = 78 and center is [345, 234]
In frame: 437, radius = 78 and center is [345, 234]
In frame: 438, radius = 79 and center is [345, 234]
In frame: 439, radius = 79 and center is [345, 234]
In frame: 440, radius = 79 and center is [346, 234]
In frame: 441, radius = 79 and center is [346, 234]
In frame: 442, radius = 79 and center is [346, 232]
In frame: 443, radius = 79 and center is [346, 232]
In frame: 444, radius = 78 and center is [346, 232]
In frame: 445, radius = 78 and center is [346, 232]
In frame: 446, radius = 78 and center is [346, 232]
In frame: 447, radius = 78 and center is [346, 231]
In frame: 448, radius = 79 and center is [346, 231]
In frame: 449, radius = 79 and center is [347, 230]
In frame: 450, radius = 79 and center is [347, 229]
In frame: 451, radius = 79 and center is [347, 229]
In frame: 452, radius = 79 and center is [347, 229]
In frame: 453, radius = 79 and center is [347, 230]
In frame: 454, radius = 79 and center is [347, 231]
In frame: 455, radius = 80 and center is [347, 232]
In frame: 456, radius = 80 and center is [347, 233]
In frame: 457, radius = 80 and center is [347, 233]
In frame: 458, radius = 79 and center is [347, 233]
In frame: 459, radius = 79 and center is [347, 233]
In frame: 460, radius = 80 and center is [348, 233]
In frame: 461, radius = 80 and center is [348, 234]
In frame: 462, radius = 80 and center is [348, 234]
In frame: 463, radius = 80 and center is [348, 234]
In frame: 464, radius = 80 and center is [348, 235]
In frame: 465, radius = 80 and center is [348, 236]
In frame: 466, radius = 79 and center is [348, 236]
In frame: 467, radius = 79 and center is [348, 236]
In frame: 468, radius = 79 and center is [348, 237]
In frame: 469, radius = 79 and center is [348, 236]
In frame: 470, radius = 79 and center is [348, 236]
In frame: 471, radius = 79 and center is [349, 235]
In frame: 472, radius = 79 and center is [349, 235]
In frame: 473, radius = 79 and center is [349, 235]
In frame: 474, radius = 79 and center is [349, 236]
In frame: 475, radius = 78 and center is [349, 236]
In frame: 476, radius = 78 and center is [349, 237]
In frame: 477, radius = 78 and center is [349, 237]
In frame: 478, radius = 79 and center is [349, 238]
In frame: 479, radius = 79 and center is [349, 238]
In frame: 480, radius = 79 and center is [349, 237]
In frame: 481, radius = 79 and center is [349, 237]
In frame: 482, radius = 79 and center is [349, 237]
In frame: 483, radius = 79 and center is [349, 238]
In frame: 484, radius = 79 and center is [349, 239]
In frame: 485, radius = 79 and center is [349, 239]
In frame: 486, radius = 79 and center is [349, 240]
In frame: 487, radius = 79 and center is [349, 240]
In frame: 488, radius = 79 and center is [349, 242]
In frame: 489, radius = 79 and center is [348, 242]
In frame: 490, radius = 79 and center is [348, 241]
In frame: 491, radius = 79 and center is [347, 239]
In frame: 492, radius = 79 and center is [347, 238]
In frame: 493, radius = 79 and center is [347, 238]
In frame: 494, radius = 79 and center is [347, 239]
In frame: 495, radius = 78 and center is [348, 238]
In frame: 496, radius = 78 and center is [348, 238]
In frame: 497, radius = 78 and center is [348, 238]
In frame: 498, radius = 78 and center is [348, 238]
In frame: 499, radius = 77 and center is [348, 237]
In frame: 500, radius = 78 and center is [348, 237]
In frame: 501, radius = 78 and center is [348, 237]
In frame: 502, radius = 78 and center is [348, 237]
In frame: 503, radius = 78 and center is [347, 237]
In frame: 504, radius = 79 and center is [347, 237]
In frame: 505, radius = 79 and center is [347, 237]
In frame: 506, radius = 79 and center is [347, 237]
In frame: 507, radius = 78 and center is [347, 237]
In frame: 508, radius = 78 and center is [348, 237]
In frame: 509, radius = 78 and center is [347, 237]
In frame: 510, radius = 78 and center is [348, 237]
In frame: 511, radius = 78 and center is [347, 237]
In frame: 512, radius = 78 and center is [347, 237]
In frame: 513, radius = 78 and center is [347, 237]
In frame: 514, radius = 78 and center is [347, 238]
In frame: 515, radius = 77 and center is [348, 238]
In frame: 516, radius = 77 and center is [349, 238]
In frame: 517, radius = 77 and center is [349, 238]
In frame: 518, radius = 77 and center is [348, 238]
In frame: 519, radius = 76 and center is [348, 237]
In frame: 520, radius = 76 and center is [348, 238]
In frame: 521, radius = 76 and center is [348, 238]
In frame: 522, radius = 76 and center is [348, 238]
In frame: 523, radius = 77 and center is [348, 238]
In frame: 524, radius = 77 and center is [348, 239]
In frame: 525, radius = 77 and center is [348, 239]
In frame: 526, radius = 77 and center is [348, 239]
In frame: 527, radius = 77 and center is [348, 239]
In frame: 528, radius = 77 and center is [348, 239]
In frame: 529, radius = 77 and center is [348, 239]
In frame: 530, radius = 77 and center is [348, 239]
In frame: 531, radius = 77 and center is [348, 239]
In frame: 532, radius = 76 and center is [345, 236]
In frame: 533, radius = 77 and center is [345, 236]
In frame: 534, radius = 77 and center is [345, 237]
In frame: 535, radius = 77 and center is [345, 238]
In frame: 536, radius = 77 and center is [346, 238]
In frame: 537, radius = 77 and center is [345, 238]
In frame: 538, radius = 77 and center is [345, 238]
In frame: 539, radius = 76 and center is [345, 238]
